alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,25x25,50,14,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,0.47983,1.07729,33.45,9,91
2,25x25,50,16,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,0.12077,0.08425,8.12,0,100
2,25x25,50,17,,10,4,0.9,0.9,0.005,50,0,120.0,97.0,0.3443,0.57892,24.21,4,93
2,25x25,50,18,,10,4,0.9,0.9,0.005,50,0,120.0,57.0,1.08236,3.55456,66.6,8,49
2,25x25,50,21,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,0.0978,0.13396,7.45,0,100
2,25x25,50,26,,10,4,0.9,0.9,0.005,50,0,120.0,88.0,2.70859,7.47226,165.49,13,75
2,25x25,50,29,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.12636,7.29265,58.63,5,95
2,25x25,50,34,,10,4,0.9,0.9,0.005,50,0,120.0,99.0,0.96081,1.21737,53.02,14,85
2,25x25,50,44,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,0.27715,0.97606,16.85,2,98
2,25x25,50,50,,10,4,0.9,0.9,0.005,50,0,120.0,98.0,1.06731,1.88463,57.51,12,86
2,25x25,50,51,,10,4,0.9,0.9,0.005,50,0,120.0,78.0,2.20082,3.56175,120.47,26,52
2,25x25,50,57,,10,4,0.9,0.9,0.005,50,0,120.0,97.0,3.46234,13.5489,180.12,22,75
2,25x25,50,64,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,0.75227,1.60712,51.25,18,82
2,25x25,50,69,,10,4,0.9,0.9,0.005,50,0,120.0,98.0,3.79749,10.77175,218.16,28,70
2,25x25,50,71,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,0.2264,0.22312,16.42,0,100
2,25x25,50,80,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,0.30474,0.82933,20.67,5,95
2,25x25,50,82,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,0.34942,0.57662,24.89,2,98
2,25x25,50,83,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,2.08238,12.61702,112.6,5,95
2,25x25,50,86,,10,4,0.9,0.9,0.005,50,0,120.0,99.0,0.97552,6.17605,63.77,5,94
2,25x25,50,91,,10,4,0.9,0.9,0.005,50,0,120.0,92.0,2.94545,12.56787,154.91,9,83
2,25x25,50,92,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,0.07283,0.03544,6.28,0,100
2,25x25,50,93,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,3.76584,11.90427,211.44,20,80
2,25x25,50,94,,10,4,0.9,0.9,0.005,50,0,120.0,93.0,2.70396,6.35361,134.62,20,73
2,25x25,50,99,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,3.53347,12.22161,200.72,21,79
